,id,Category_name,Category_number,Product,Manufacturer / product label / country of origin,Procured_in,Antioxidant_content_in_mmol/100g,Comment,Query,Amazon_url
122,123,Beverages,2,"Beer, Beck`s beer","Brauerei Beck & CO, Germany",Norway,0.13,3,Beer++Beck`s+beer,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Beck`s+beer
123,124,Beverages,2,"Beer, Guinnes Draught","Guinness UDV, Irland",Norway,0.21,3,Beer++Guinnes+Draught,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Guinnes+Draught
124,125,Beverages,2,"Beer, Lager Beer","Heineken, Netherlands",Norway,0.13,3,Beer++Lager+Beer,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Lager+Beer
125,126,Beverages,2,"Beer, Leffe","Br.Abbaye de Leffe, Belgium",Norway,0.22,3,Beer++Leffe,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Leffe
126,127,Beverages,2,"Beer, light",Bud Light,USA,0.08,6,Beer++light,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++light
127,128,Beverages,2,"Beer, light",Mixed brands,USA,0.1,6,Beer++light,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++light
128,129,Beverages,2,"Beer, light",Natural Light,USA,0.1,6,Beer++light,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++light
129,130,Beverages,2,"Beer, light",Miller Light,USA,0.09,6,Beer++light,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++light
130,131,Beverages,2,"Beer, light",Coors Light,USA,0.06,6,Beer++light,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++light
131,132,Beverages,2,"Beer, Limfjords Porter, double brown stout","Thisted Bryghus, Denmark",Norway,0.43,3,Beer++Limfjords+Porter++double+brown+stout,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Limfjords+Porter++double+brown+stout
132,133,Beverages,2,"Beer, Lysholmer Spesial","E.C. Dahls bryggeri, Norway",Norway,0.18,3,Beer++Lysholmer+Spesial,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Lysholmer+Spesial
133,134,Beverages,2,"Beer, Mack Bok‐øl","Macks Ølbryggeri, Norway",Norway,0.43,3,Beer++Mack+Bok‐øl,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Mack+Bok‐øl
134,135,Beverages,2,"Beer, Maredsous, Trippel 10","Belgisch Abdjbier, Belgium",Norway,0.42,3,Beer++Maredsous++Trippel+10,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Maredsous++Trippel+10
135,136,Beverages,2,"Beer, Pale ale","Nøgne Ø, Norway",Norway,0.31,3,Beer++Pale+ale,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Pale+ale
136,137,Beverages,2,"Beer, Pères Trappistes","Chimay, Belgium",Norway,0.33,3,Beer++Pères+Trappistes,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Pères+Trappistes
137,138,Beverages,2,"Beer, Pils","Ringnes, Norway",Norway,0.19,3,Beer++Pils,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Pils
138,139,Beverages,2,"Beer, Pils","Tuborg, Denmark",Norway,0.22,3,Beer++Pils,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Pils
139,140,Beverages,2,"Beer, Porter","Nøgne Ø, Norway",Norway,0.46,3,Beer++Porter,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Porter
140,141,Beverages,2,"Beer, Premium Lager",Grolsch,Norway,0.21,3,Beer++Premium+Lager,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Premium+Lager
141,142,Beverages,2,"Beer, regular",Mixed brands,USA,0.14,6,Beer++regular,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++regular
142,143,Beverages,2,"Beer, regular",Busch,USA,0.12,6,Beer++regular,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++regular
143,144,Beverages,2,"Beer, regular",Miller High Life,USA,0.12,6,Beer++regular,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++regular
144,145,Beverages,2,"Beer, regular",Budweiser,USA,0.15,6,Beer++regular,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++regular
145,146,Beverages,2,"Beer, Saison Dupont, Biologique",Belgium,Norway,0.29,3,Beer++Saison+Dupont++Biologique,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Saison+Dupont++Biologique
146,147,Beverages,2,"Beer, Samichlaus Bier (Santa Claus Beer), Lager Beer","Castle Brewery Eggenberg, Austria",Norway,0.46,3,Beer++Samichlaus+Bier++Santa+Claus+Beer+++Lager+Beer,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Samichlaus+Bier++Santa+Claus+Beer+++Lager+Beer
147,148,Beverages,2,"Beer, without alcohol","Munkholm, Norway",Norway,0.11,3,Beer++without+alcohol,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++without+alcohol
148,149,Beverages,2,"Beer, Aass Gull","Aass Bryggerier, Norway",Norway,0.19,3,Beer++Aass+Gull,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Beer++Aass+Gull
149,150,Beverages,2,"Blackcurrant, toddy, instant, Regia","Freia, Norway",Norway,2.64,3,Blackcurrant++toddy++instant++Regia,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Blackcurrant++toddy++instant++Regia
150,151,Beverages,2,"Blackcurrant, toddy, instant, Regia, prepared","Freia, Norway",Norway,0.38,3,Blackcurrant++toddy++instant++Regia++prepared,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Blackcurrant++toddy++instant++Regia++prepared
